indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
1778,KL5EE64620,Liam Smit,liam.smit553@gmail.com,0615688290,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,telefoon,Strijp,Halve Maan,,Team Handhaving,1,2025-01-28,
1779,KL1758976A,Sophie Smit,sophie.smit731@gmail.com,0613405201,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,formulier,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-10,
1780,KL7B012FC2,Tess Bakker,tess.bakker365@outlook.com,0628642098,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Geannuleerd,telefoon,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-10,
1781,KL08396BC7,Julia Mulder,julia.mulder224@hotmail.com,0642847646,Woningtoezicht,Ongedierte,5 dagen,Openstaand,app,Centrum,Witte Dame,,Team Bouw & Toezicht,0,2025-01-28,
1782,KL8F753CB8,Tess de Vries,tess.de vries522@gmail.com,0619823237,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Stratum,Putten,,Team Reiniging,0,2025-02-06,
1783,KLD731F027,Julia Meijer,julia.meijer24@hotmail.com,0667934549,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,onbekend,Tongelre,De Laak,,Team Reiniging,0,2025-01-31,
1784,KLE83F6DF2,Finn de Vries,finn.de vries280@hotmail.com,0681662480,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,internet,Woensel Noord,Dommelbeemd,,Team Groenvoorziening,0,2025-02-03,
1785,KL8EBC0DD4,Sara Mulder,sara.mulder420@outlook.com,0669383750,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,internet,Strijp,Halve Maan,,Team Groenvoorziening,0,2025-02-24,
1786,KL5F8E0930,Sophie Jansen,sophie.jansen748@gmail.com,0656368775,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Stratum,Kortonjo,,Team Reiniging,0,2025-02-01,
1787,KLABEEE1B9,Mila Visser,,0629396290,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Heropend,app,Centrum,De Bergen,,Team Sociaal Domein,0,2025-02-21,
1788,KL1ACEF541,Tess Smit,tess.smit856@outlook.com,0644159178,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,internet,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-22,
1789,KLDF96889C,Sophie Visser,sophie.visser187@hotmail.com,0689266514,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,internet,Woensel Zuid,Oud-Woensel,,Team Wegen & Verkeer,0,2025-02-07,
1790,KL0C5B43B0,Julia Jansen,julia.jansen690@voorbeeld.nl,0696965029,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,internet,Woensel Noord,Aanschot,,Team Groenvoorziening,0,2025-02-02,
1791,KL0E329258,Noah Koster,noah.koster485@voorbeeld.nl,0615397394,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,formulier,Centrum,Witte Dame,,Team Bouw & Toezicht,0,2025-02-24,
1792,KL199D769A,Noah de Boer,noah.de boer802@hotmail.com,,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Afgehandelde klacht,app,Woensel Zuid,Erp,Neutraal,Team Sociaal Domein,0,2025-02-08,10.0
1793,KLB23DC4B3,Tess Mulder,tess.mulder394@hotmail.com,0641482688,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Tevreden,Team Reiniging,0,2025-02-16,11.0
1794,KL55A879AE,Mila Smit,mila.smit944@outlook.com,0665907336,Bouwvergunning,Overlast door projecten,7 dagen,Openstaand,internet,Strijp,Oud-Strijp,,Team Bouw & Toezicht,0,2025-02-21,
1795,KL83C929A1,Liam Bakker,liam.bakker894@gmail.com,0668621542,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-22,
1796,KLD4A03E6D,Sophie van Dijk,sophie.van dijk670@gmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,internet,Woensel Noord,Aanschot,Zeer ontevreden,Team Reiniging,0,2025-02-05,17.0
1797,KL1121F84B,Tess Smit,tess.smit682@gmail.com,0641838451,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-01,
1798,KL630DF8DE,Mila de Boer,mila.de boer586@hotmail.com,0694357148,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-03,
1799,KLA79F7835,Finn Visser,finn.visser290@voorbeeld.nl,0631267237,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Heropend,telefoon,Stratum,Kortonjo,,Team Handhaving,0,2025-02-19,
1800,KL435D43D8,Tess Koster,tess.koster916@hotmail.com,0674753421,Dieren,Dode of gewonde dieren - op straat,1 dag,Afgehandelde klacht,onbekend,Woensel Zuid,Erp,Ontevreden,Team Handhaving,0,2025-02-22,13.0
1801,KL66899966,Finn de Boer,,0643647331,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Neutraal,Team Reiniging,0,2025-02-15,13.0
1802,KL3F5A17DC,Mila Mulder,mila.mulder459@gmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Strijp,Oud-Strijp,Ontevreden,Team Reiniging,0,2025-02-03,8.0
1803,KL3A9C3A93,Sara van Dijk,sara.van dijk153@gmail.com,0643207470,Openbaar vervoer,Beschadigde haltes,7 dagen,Openstaand,app,Centrum,Fellenoord,,Team Wegen & Verkeer,0,2025-02-03,
1804,KL8B56BA1A,Mila Koster,mila.koster90@hotmail.com,0623113294,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,telefoon,Woensel Noord,Ontginning,Ontevreden,Team Handhaving,0,2025-02-12,5.0
1805,KL6A1B020D,Daan Smit,daan.smit413@hotmail.com,0613560922,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,formulier,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-25,
1806,KL4F5CF3C9,Emma de Boer,emma.de boer277@gmail.com,0624150766,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,app,Gestel,Oud-Gestel,Zeer ontevreden,Team Handhaving,0,2025-02-16,13.0
1807,KL2B286863,Finn Mulder,,0646539469,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Heropend,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-01-29,
1808,KLD65DBFF3,Emma de Vries,emma.de vries577@gmail.com,0626445924,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,internet,Strijp,Meerhoven,,Team Sociaal Domein,0,2025-02-22,
1809,KLDFF9E7C3,Emma Koster,emma.koster591@gmail.com,0617222673,Jeugdzorg,Kindermishandeling (melding),1 dag,Openstaand,app,Strijp,Halve Maan,,Team Sociaal Domein,0,2025-02-16,
1810,KLC308982A,Sophie van Dijk,sophie.van dijk170@hotmail.com,0654820869,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,app,Gestel,Oud Kasteel,Tevreden,Team Wegen & Verkeer,0,2025-02-18,13.0
1811,KL5F4519EA,Tess Visser,tess.visser672@hotmail.com,0689469353,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,In behandeling,internet,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-24,
1812,KL16CCE6C6,Finn Jansen,finn.jansen921@gmail.com,0675722085,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,app,Tongelre,Oud-Tongelre,,Team Sociaal Domein,0,2025-02-15,
1813,KLAED5CDCF,Noah de Boer,noah.de boer234@hotmail.com,0659695132,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,formulier,Woensel Zuid,Oud-Woensel,Zeer ontevreden,Team Reiniging,0,2025-02-10,9.0
1814,KL6F12E282,Daan Mulder,,0680557520,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Afgehandelde klacht,telefoon,Tongelre,De Laak,Zeer ontevreden,Team Handhaving,0,2025-01-30,2.0
1815,KL96FD2077,Mila Smit,mila.smit864@voorbeeld.nl,,Groenvoorziening,Onkruidbestrijding,14 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Groenvoorziening,0,2025-02-06,
1816,KL1DEB7FF4,Emma Mulder,emma.mulder909@outlook.com,0675498666,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,formulier,Stratum,Putten,,Team Handhaving,0,2025-02-01,
1817,KLD9E856DA,Sophie Smit,sophie.smit179@hotmail.com,0676330022,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Geannuleerd,telefoon,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-13,
1818,KLE050047A,Sara Koster,sara.koster481@gmail.com,0636109057,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Strijp,Meerhoven,,Team Verlichting,0,2025-02-19,
1819,KLA29EC729,Tess Koster,tess.koster475@gmail.com,0663551574,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,app,Strijp,Halve Maan,,Team Wegen & Verkeer,0,2025-02-08,
1820,KL1FA475BC,Tess Jansen,tess.jansen776@gmail.com,0611481113,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,internet,Centrum,Binnenstad,,Team Reiniging,0,2025-02-06,
1821,KL61487B3F,Mila Visser,mila.visser870@voorbeeld.nl,0638684332,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,telefoon,Woensel Zuid,Begijnenbroek,,Team Handhaving,0,2025-02-21,
1822,KL5FA8F687,Emma Smit,emma.smit495@hotmail.com,0656076864,Geluidsoverlast,Horeca,7 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-03,
1823,KLCC047E49,Sara Smit,sara.smit161@gmail.com,0682839635,Bouwvergunning,Overlast door projecten,7 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Bouw & Toezicht,0,2025-02-02,
1824,KLD85BA00C,Daan Koster,daan.koster23@gmail.com,0688672435,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,app,Tongelre,De Laak,,Team Handhaving,1,2025-02-03,
1825,KL894F4062,Tess de Boer,tess.de boer638@hotmail.com,0623810161,Woningtoezicht,Ongedierte,5 dagen,Heropend,app,Strijp,Halve Maan,,Team Bouw & Toezicht,0,2025-02-13,
1826,KLD93C96A7,Julia Meijer,julia.meijer772@voorbeeld.nl,0640783797,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Tevreden,Team Verlichting,0,2025-02-21,10.0
1827,KLEAB74869,Finn Koster,finn.koster669@hotmail.com,0691178159,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Afgehandelde klacht,app,Tongelre,De Laak,Neutraal,Team Handhaving,0,2025-02-26,8.0
1828,KLD085F46A,Liam Meijer,liam.meijer758@voorbeeld.nl,,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,formulier,Woensel Noord,Ontginning,,Team Wegen & Verkeer,0,2025-02-04,
1829,KL51B3D313,Sophie Jansen,sophie.jansen866@gmail.com,0663058148,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,app,Gestel,Rozenknopje,,Team Handhaving,0,2025-02-22,
1830,KLF8F8812E,Liam Jansen,liam.jansen947@gmail.com,0647034667,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,onbekend,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-08,
1831,KLA8E536C0,Noah Meijer,noah.meijer890@voorbeeld.nl,0627584321,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,app,Strijp,Meerhoven,,Team Wegen & Verkeer,0,2025-02-19,
1832,KLC3BCFC0F,Emma Visser,emma.visser952@voorbeeld.nl,0627178973,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-24,
1833,KLD0FA68C4,Noah de Boer,noah.de boer984@outlook.com,0641523544,Bouwvergunning,Illegale aanbouw,14 dagen,In behandeling,telefoon,Gestel,Oud Kasteel,,Team Bouw & Toezicht,0,2025-02-03,
1834,KLF536B5BD,Sophie Jansen,sophie.jansen337@hotmail.com,0642516876,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,formulier,Woensel Noord,Achtse Molen,Ontevreden,Team Handhaving,0,2025-02-22,4.0
1835,KLB98A4D93,Noah van Dijk,noah.van dijk539@voorbeeld.nl,0640019370,Verkeer en wegen,Gat in de weg,5 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Wegen & Verkeer,0,2025-01-28,
1836,KL6895EC80,Daan Smit,daan.smit67@hotmail.com,0667340110,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,telefoon,Gestel,Rozenknopje,Zeer tevreden,Team Spelen & Sport,0,2025-02-10,13.0
1837,KL5F090D0B,Sara Koster,sara.koster55@hotmail.com,0654212400,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-02,
1838,KLBD6B3C4D,Finn de Boer,finn.de boer835@gmail.com,0634186159,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,internet,Gestel,Oud Kasteel,Ontevreden,Team Handhaving,0,2025-02-16,18.0
1839,KLE139CB16,Julia de Boer,julia.de boer817@gmail.com,0672996672,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Openstaand,internet,Gestel,Rozenknopje,,Team Sociaal Domein,0,2025-02-02,
1840,KLD6F584BE,Julia Bakker,julia.bakker424@gmail.com,,Groenvoorziening,Omgevallen boom,2 dagen,Geannuleerd,internet,Stratum,Kortonjo,,Team Groenvoorziening,0,2025-02-03,
1841,KL029293EC,Noah Mulder,noah.mulder43@outlook.com,,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,app,Woensel Noord,Dommelbeemd,Ontevreden,Team Wegen & Verkeer,0,2025-02-18,5.0
1842,KL2E600AC5,Mila de Boer,mila.de boer950@hotmail.com,,Woningtoezicht,Ongedierte,5 dagen,Openstaand,internet,Strijp,Meerhoven,,Team Bouw & Toezicht,0,2025-02-08,
1843,KLA47BC7B6,Mila Bakker,mila.bakker558@hotmail.com,0690212254,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Geannuleerd,app,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-14,
1844,KLE1CB072A,Julia van Dijk,julia.van dijk690@gmail.com,0680629213,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,formulier,Tongelre,Oud-Tongelre,Zeer ontevreden,Team Reiniging,0,2025-02-06,3.0
1845,KLC87D2B0D,Finn Mulder,finn.mulder964@voorbeeld.nl,0615607200,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,telefoon,Woensel Zuid,Oud-Woensel,,Team Verlichting,0,2025-02-01,
1846,KLDE3BBDD4,Daan Visser,daan.visser662@gmail.com,0683881877,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Woensel Zuid,Erp,,Team Handhaving,1,2025-02-07,
1847,KL33C801D6,Sara Bakker,sara.bakker397@voorbeeld.nl,0693508623,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Geannuleerd,app,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-02-09,
1848,KL89F79FCC,Liam Koster,liam.koster906@gmail.com,,Vandalisme,Beschadigde objecten,5 dagen,In behandeling,app,Tongelre,De Laak,,Team Handhaving,0,2025-02-12,
1849,KLFB0EF285,Finn de Vries,finn.de vries537@hotmail.com,0623691089,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,app,Woensel Noord,Dommelbeemd,Ontevreden,Team Spelen & Sport,0,2025-01-29,15.0
1850,KLCCDD9104,Mila Mulder,mila.mulder166@hotmail.com,0672818083,Vandalisme,Beschadigde objecten,5 dagen,Geannuleerd,telefoon,Woensel Zuid,Oud-Woensel,,Team Handhaving,0,2025-01-29,
1851,KL8B652953,Emma Mulder,emma.mulder6@hotmail.com,0651750392,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),In behandeling,telefoon,Gestel,Rozenknopje,,Team Handhaving,0,2025-02-07,
1852,KL1747D56F,Noah Koster,noah.koster384@voorbeeld.nl,,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-07,
1853,KLFAAFD23A,Daan Koster,daan.koster410@gmail.com,0658909144,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,telefoon,Strijp,Halve Maan,,Team Reiniging,0,2025-01-29,
1854,KLECF94152,Noah de Boer,noah.de boer490@outlook.com,0618377490,Groenvoorziening,Overhangend groen,14 dagen,Heropend,app,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,1,2025-01-28,
1855,KLA366DCB4,Noah Meijer,noah.meijer974@gmail.com,0676396134,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Geannuleerd,app,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-25,
1856,KLC6A55BC5,Mila de Boer,mila.de boer85@hotmail.com,0623636408,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,internet,Tongelre,De Laak,,Team Reiniging,0,2025-02-25,
1857,KL94D42273,Liam Smit,liam.smit939@hotmail.com,0614066870,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Strijp,Meerhoven,,Team Reiniging,0,2025-02-13,
1858,KL2CEED7B7,Sophie de Vries,sophie.de vries214@gmail.com,0689120294,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Woensel Zuid,Erp,,Team Reiniging,0,2025-02-13,
1859,KL9D5AC31D,Noah Mulder,noah.mulder329@gmail.com,0668287276,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,app,Gestel,Oud-Gestel,,Team Groenvoorziening,0,2025-02-21,
1860,KL8C12B799,Emma Bakker,emma.bakker33@gmail.com,0696112218,Groenvoorziening,Omgevallen boom,2 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Groenvoorziening,0,2025-02-15,1.0
1861,KL20EAF995,Sara de Boer,sara.de boer156@gmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-02,
1862,KL28D12C4A,Mila Koster,mila.koster295@gmail.com,0661391657,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-01-30,
1863,KL0468F59A,Julia Smit,julia.smit663@hotmail.com,0653261383,Geluidsoverlast,Horeca,7 dagen,Heropend,telefoon,Strijp,Oud-Strijp,,Team Handhaving,0,2025-01-28,
1864,KL070E2BC1,Sophie Visser,sophie.visser745@gmail.com,0647472504,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,app,Strijp,Halve Maan,,Team Reiniging,0,2025-02-15,
1865,KL08A77282,Noah Meijer,noah.meijer157@gmail.com,0654660384,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,internet,Woensel Noord,Achtse Molen,,Team Bouw & Toezicht,0,2025-02-05,
1866,KLE1EA12A5,Mila van Dijk,mila.van dijk242@voorbeeld.nl,0686467381,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Stratum,Putten,,Team Reiniging,0,2025-02-22,
1867,KL6A5D984B,Tess Smit,tess.smit481@gmail.com,0653676372,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,internet,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-23,
1868,KLB51A6082,Julia Bakker,julia.bakker653@gmail.com,0661092935,Afval en reiniging,Verstopte putten,3 dagen,Heropend,formulier,Stratum,Oud-Stratum,,Team Handhaving,1,2025-02-11,
1869,KL996DC568,Julia Visser,julia.visser74@gmail.com,0652092356,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Openstaand,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-19,
1870,KLC516FECC,Tess de Boer,tess.de boer518@gmail.com,,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Ontevreden,Team Verlichting,0,2025-02-17,18.0
1871,KLEFE21BD3,Emma Bakker,,0654873777,Geluidsoverlast,Horeca,7 dagen,Heropend,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-09,
1872,KLBA635027,Sara Bakker,sara.bakker544@hotmail.com,0656168814,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-02-15,
1873,KLFBE6DF30,Noah Bakker,noah.bakker953@voorbeeld.nl,0641244554,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,telefoon,Centrum,De Bergen,,Team Reiniging,0,2025-02-18,
1874,KLD52DCE02,Noah Smit,noah.smit897@outlook.com,0697587286,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,internet,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-21,
1875,KL9B410FAF,Liam Smit,liam.smit178@outlook.com,0656898615,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Centrum,TU-terrein,Neutraal,Team Reiniging,0,2025-02-26,4.0
1876,KLD226E5D1,Tess Jansen,tess.jansen336@gmail.com,0696673944,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,app,Stratum,Oud-Stratum,Zeer ontevreden,Team Verlichting,0,2025-02-26,3.0
1877,KL96312E17,Mila Meijer,mila.meijer854@hotmail.com,0695776136,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Openstaand,app,Stratum,Oud-Stratum,,Team Sociaal Domein,0,2025-02-02,
1878,KLED488D0D,Finn Visser,finn.visser490@outlook.com,0649224358,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-18,
1879,KLD80C6296,Finn de Vries,,0665548272,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,formulier,Centrum,Binnenstad,,Team Reiniging,0,2025-01-28,
1880,KL7166CE06,Sara Visser,sara.visser171@gmail.com,0635596189,Geluidsoverlast,Horeca,7 dagen,Heropend,internet,Stratum,Putten,,Team Handhaving,0,2025-02-18,
1881,KLCE557F82,Mila Bakker,mila.bakker502@hotmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Strijp,Meerhoven,,Team Reiniging,0,2025-01-28,
1882,KLE62F2BF5,Liam Bakker,liam.bakker765@hotmail.com,,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Openstaand,app,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-02-05,
1883,KL3468A553,Daan van Dijk,daan.van dijk199@gmail.com,0634969316,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Centrum,Binnenstad,,Team Reiniging,0,2025-02-13,
1884,KL070E120C,Liam Visser,liam.visser283@gmail.com,0691596810,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,telefoon,Strijp,Meerhoven,,Team Reiniging,0,2025-02-03,
1885,KL286D17E1,Finn Meijer,finn.meijer286@hotmail.com,0686739941,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-03,
1886,KL6E05D532,Tess van Dijk,tess.van dijk367@gmail.com,0636462331,Woningtoezicht,Achterstallig onderhoud,10 dagen,Openstaand,formulier,Woensel Noord,Ontginning,,Team Bouw & Toezicht,0,2025-02-16,
1887,KLFCF57465,Sara Meijer,sara.meijer61@hotmail.com,0630054453,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,internet,Centrum,Fellenoord,,Team Verlichting,0,2025-02-15,
1888,KLC28ADB88,Emma Jansen,emma.jansen516@outlook.com,0623093712,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Geannuleerd,formulier,Tongelre,Oud-Tongelre,,Team Sociaal Domein,0,2025-02-13,
1889,KLB0D560DE,Mila de Boer,mila.de boer505@outlook.com,0615717475,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Geannuleerd,app,Strijp,Meerhoven,,Team Handhaving,0,2025-02-10,
1890,KLCB5B5D07,Mila Koster,mila.koster24@gmail.com,,Woningtoezicht,Achterstallig onderhoud,10 dagen,In behandeling,internet,Stratum,Oud-Stratum,,Team Bouw & Toezicht,0,2025-02-21,
1891,KL5F0038F1,Tess Jansen,tess.jansen798@hotmail.com,0673153744,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,internet,Centrum,TU-terrein,,Team Wegen & Verkeer,0,2025-02-18,
1892,KL0D0A4A37,Sara Meijer,sara.meijer657@gmail.com,0682120683,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-30,
1893,KL362B21D0,Noah Visser,,0676589610,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),In behandeling,telefoon,Centrum,Binnenstad,,Team Handhaving,0,2025-02-06,
1894,KL7999F634,Finn de Vries,finn.de vries447@gmail.com,0650814302,Dieren,Overlast door dieren,7 dagen,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Sociaal Domein,1,2025-02-16,
1895,KLD076E005,Finn Visser,finn.visser701@outlook.com,,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,app,Tongelre,De Laak,,Team Verlichting,0,2025-02-20,
